1,Local,--'',Robot {estado},exito,2024-10-23 12:53:18.206358
2,Local,M17,Motores activados,exito,2024-10-23 12:53:57.084478
1,Local,--'',Robot {estado},exito,2024-10-23 13:08:29.329816
2,Local,M17,Motores activados,exito,2024-10-23 13:08:36.977836
